sensor_id,sensor_name,lat,lon,timestamp,p1,p2
13000,SDS011,58.052,11.752,2018-12-31 16:01:24,4.32,1.88
18056,SDS011,57.494,12.166,2018-12-31 16:03:16,37.68,10.18
14811,SDS011,57.706,11.9,2018-12-31 16:04:45,20.75,7.47
15551,SDS011,57.712,11.996,2018-12-31 16:06:55,16.93,7.68
14276,SDS011,57.346,12.15,2018-12-31 16:08:44,57.73,15.84
10281,SDS011,59.472,18.048,2018-12-31 16:10:09,4.12,3.35
10922,SDS011,59.494,17.976,2018-12-31 16:12:07,3.36,1.8
10823,SDS011,59.332,18.034,2018-12-31 16:13:30,3.57,1.7
12391,SDS011,59.86,17.64,2018-12-31 16:15:25,1.7,1.32
13012,SDS011,57.662,12.006,2018-12-31 16:16:51,5.32,2.61
17538,SDS011,55.612,12.972,2018-12-31 16:18:46,25.6,10.4
11771,SDS011,55.748,13.194,2018-12-31 16:20:48,25.4,10.16
16446,SDS011,55.66,12.592,2018-12-31 16:22:15,1.32,1.21
18838,SDS011,56.92,14.804,2018-12-31 16:24:04,28.72,7.75
9368,SDS011,59.37,17.834,2018-12-31 16:25:29,1.98,1.51
15069,SDS011,59.284,17.95,2018-12-31 16:27:22,2.54,1.68
19547,SDS011,58.014,11.826,2018-12-31 16:28:52,17.71,4.02
11550,SDS011,59.27,18.078,2018-12-31 16:30:42,2.8,1.03
16815,SDS011,59.462,18.04,2018-12-31 16:32:34,12.67,6.63
18112,SDS011,57.478,11.978,2018-12-31 16:34:01,65.17,14.94
14276,SDS011,57.346,12.15,2018-12-31 16:35:56,76.46,20.66
10721,SDS011,59.45,18.124,2018-12-31 16:37:25,2.22,1.32
14209,SDS011,56.07,12.698,2018-12-31 16:39:18,29.04,14.0
11661,SDS011,59.446,14.888,2018-12-31 16:40:43,3.18,1.75
18836,SDS011,63.404,13.03,2018-12-31 16:42:33,0.24,0.2
12135,SDS011,56.42,15.548,2018-12-31 16:44:01,6.39,4.4
12129,SDS011,59.34,18.04,2018-12-31 16:45:53,7.56,2.68
16723,SDS011,57.736,11.894,2018-12-31 16:47:47,451.33,25.5
12389,SDS011,59.924,10.744,2018-12-31 16:49:08,3.15,2.7
17020,SDS011,55.728,13.194,2018-12-31 16:51:12,120.34,16.98
13307,SDS011,66.318,14.18,2018-12-31 16:52:35,6.24,3.75
11769,SDS011,59.238,18.226,2018-12-31 16:54:28,4.18,2.26
17923,SDS011,55.73,13.2,2018-12-31 16:55:48,129.95,14.08
14807,SDS011,57.718,12.034,2018-12-31 16:57:53,20.15,7.95
15561,SDS011,59.214,16.222,2018-12-31 16:59:46,1.6,1.5
11763,SDS011,56.522,14.95,2018-12-31 17:01:12,13.75,5.73
16723,SDS011,57.736,11.894,2018-12-31 17:03:02,485.98,28.16
17650,SDS011,59.304,18.102,2018-12-31 17:04:22,1.75,1.7
14801,SDS011,57.716,12.048,2018-12-31 17:06:18,47.78,17.86
17927,SDS011,58.396,15.544,2018-12-31 17:07:45,2.24,1.34
9797,SDS011,57.492,12.652,2018-12-31 17:09:40,7.95,4.55
13475,SDS011,63.824,20.288,2018-12-31 17:11:40,0.0,0.0
17576,SDS011,55.684,12.556,2018-12-31 17:13:05,32.44,14.52
17710,SDS011,57.718,12.134,2018-12-31 17:15:00,8.45,4.34
14282,SDS011,59.282,18.344,2018-12-31 17:16:21,2.13,1.6
14809,SDS011,57.566,11.936,2018-12-31 17:18:14,29.7,6.28
16151,SDS011,55.658,13.358,2018-12-31 17:19:44,502.8,48.75
10430,SDS011,59.958,17.726,2018-12-31 17:21:38,3.08,1.88
17923,SDS011,55.73,13.2,2018-12-31 17:23:00,192.89,24.03
18820,SDS011,59.332,18.034,2018-12-31 17:24:59,7.5,3.4
17351,SDS011,58.674,16.368,2018-12-31 17:26:50,6.95,3.58
14017,SDS011,59.376,18.01,2018-12-31 17:28:14,3.58,2.28
13010,SDS011,57.632,11.962,2018-12-31 17:30:10,13.35,2.8
18056,SDS011,57.494,12.166,2018-12-31 17:31:32,53.3,13.76
16723,SDS011,57.736,11.894,2018-12-31 17:33:33,45.77,9.93
12141,SDS011,59.284,18.022,2018-12-31 17:35:34,4.25,3.71
10723,SDS011,59.298,18.052,2018-12-31 17:37:03,4.27,2.4
10250,SDS011,58.692,12.478,2018-12-31 17:38:51,7.58,2.15
13000,SDS011,58.052,11.752,2018-12-31 17:40:13,9.5,3.17
11663,SDS011,59.38,18.04,2018-12-31 17:42:11,1.42,1.13
10430,SDS011,59.958,17.726,2018-12-31 17:43:34,2.5,1.78
12133,SDS011,55.732,13.172,2018-12-31 17:45:19,0.05,0.05
19337,SDS011,59.396,16.474,2018-12-31 17:46:51,1.94,1.82
14799,SDS011,57.75,11.97,2018-12-31 17:48:47,34.78,11.35
13010,SDS011,57.632,11.962,2018-12-31 17:50:44,19.15,2.96
14133,SDS011,59.364,18.018,2018-12-31 17:52:15,5.3,2.68
11006,SDS011,57.652,11.968,2018-12-31 17:54:11,20.2,4.7
11004,SDS011,59.622,16.556,2018-12-31 17:55:27,4.12,2.53
19547,SDS011,58.014,11.826,2018-12-31 17:57:27,23.11,4.35
12679,SDS011,59.384,17.874,2018-12-31 17:58:46,0.4,0.4
14811,SDS011,57.706,11.9,2018-12-31 18:00:34,22.23,4.8
13012,SDS011,57.662,12.006,2018-12-31 18:02:39,13.95,4.0
11006,SDS011,57.652,11.968,2018-12-31 18:04:14,17.17,5.2
11376,SDS011,59.124,15.126,2018-12-31 18:06:01,3.17,0.95
10216,SDS011,59.674,16.838,2018-12-31 18:07:26,2.64,2.38
13307,SDS011,66.318,14.18,2018-12-31 18:09:29,15.62,8.0
18056,SDS011,57.494,12.166,2018-12-31 18:10:46,39.9,10.13
10926,SDS011,59.472,18.304,2018-12-31 18:12:34,2.32,2.05
8683,SDS011,59.744,18.206,2018-12-31 18:14:36,2.75,2.55
15069,SDS011,59.284,17.95,2018-12-31 18:15:56,2.28,1.82
14278,SDS011,59.374,18.01,2018-12-31 18:18:00,4.0,2.7
12120,SDS011,59.46,17.908,2018-12-31 18:19:30,4.17,2.45
7428,SDS011,59.868,17.624,2018-12-31 18:21:28,2.04,1.2
18986,SDS011,59.236,18.142,2018-12-31 18:22:41,2.18,1.2
8683,SDS011,59.744,18.206,2018-12-31 18:24:40,2.64,2.35
12387,SDS011,58.56,15.306,2018-12-31 18:26:33,3.28,2.08
18056,SDS011,57.494,12.166,2018-12-31 18:27:56,31.1,8.38
7597,SDS011,59.32,18.064,2018-12-31 18:29:51,2.5,2.35
12131,SDS011,59.45,17.916,2018-12-31 18:31:26,1.58,1.14
12124,SDS011,57.908,16.49,2018-12-31 18:33:14,0.1,0.1
10430,SDS011,59.958,17.726,2018-12-31 18:34:44,2.45,1.55
14837,SDS011,59.296,18.106,2018-12-31 18:36:48,2.7,1.7
14292,SDS011,59.42,17.842,2018-12-31 18:38:37,5.76,2.18
14294,SDS011,59.37,18.016,2018-12-31 18:39:54,4.24,2.6
17351,SDS011,58.674,16.368,2018-12-31 18:41:58,1011.05,499.74
13423,SDS011,57.758,14.922,2018-12-31 18:43:32,0.9,0.75
7277,SDS011,59.266,15.23,2018-12-31 18:45:24,14.85,4.82
15551,SDS011,57.712,11.996,2018-12-31 18:46:48,20.75,4.71
13425,SDS011,57.918,12.53,2018-12-31 18:48:50,24.24,5.7
